id;count;to_id;added_date
1;85068;integrated digital;Connecticut connect Bolivia
2;10981;Home Loan Account;interactive initiatives Computers
3;68844;Operations;RSS didactic multimedia
4;54909;Handmade Granite Sausages panel;supply-chains Handcrafted
5;35001;Cayman Islands Dollar;Avon grid-enabled
6;73725;open-source ROI;payment reboot Facilitator
7;4440;functionalities Ergonomic Concrete Sausages Stand-alone;Small Frozen Tuna fuchsia
8;76260;next-generation matrix Investor;envisioneer
9;28773;Architect uniform Georgia;User-friendly transmitting Global
10;80998;Steel;B2C
