id;country_name_en;country_name_ar;flag_image_path;currency_name_en;currency_name_ar;exchange_rate
1;Investment Account;withdrawal pixel;open-source Associate;SQL;GB relationships Chief;Fantastic Soft Cheese
2;Intelligent Plastic Soap;calculate;Dynamic;invoice Handcrafted Concrete Keyboard Refined Wooden Table;Baby Borders Computers;Engineer Home Loan Account Realigned
3;support Music;Coordinator Avon;Neck California;Tasty Plastic Computer Total Lead;Human;deposit Auto Loan Account
4;Practical Plastic Keyboard silver SQL;white Shirt;cross-platform Bond Markets Units European Composite Unit (EURCO);strategize;product value-added reboot;mobile
5;synergize extend sensor;Dynamic;payment orchestrate;Credit Card Account;bus haptic;Forward index
6;multi-byte;transmit Consultant Grocery;Bedfordshire;index Developer;upward-trending;Money Market Account Pennsylvania
7;San Marino;lavender grey;invoice Tools;Trinidad and Tobago Dollar Chair deposit;Maine;methodology Berkshire
8;back-end deposit streamline;generate;Ports Cambridgeshire Automotive;leading edge Usability Analyst;index;generate Frozen Equatorial Guinea
9;purple Branding;Argentine Peso neural;Soft override auxiliary;Licensed Games;connecting Gorgeous;Montana New York Fresh
10;Credit Card Account Pula revolutionize;indexing;Licensed Concrete Car Computers portal;withdrawal Concrete;extensible Colorado;Light
