id;title;description;image_path;is_leaf
1;Car Plastic Reverse-engineered;Credit Card Account;Unbranded Frozen Towels Gorgeous Metal Bacon Licensed Rubber Chips;true
2;virtual;Computers connect;fuchsia parse Plastic;true
3;composite Gorgeous;Indiana;Interactions;false
4;Personal Loan Account;Automotive Generic Lithuanian Litas;Markets Salad database;false
5;orchid Savings Account;Rubber Gorgeous Fresh Salad implementation;CFA Franc BEAC solid state;false
6;B2C olive;input Licensed project;Vermont;false
7;calculate Computer reboot;Unbranded Fresh Bike microchip Virtual;Applications;true
8;Multi-channelled;overriding;GB Personal Loan Account Gorgeous;false
9;Customizable Drives;Ouguiya;Berkshire;true
10;back up;synthesize Cambridgeshire;Internal Estonia;false
